"id     icao_code   iata_code   name              type              city_id           country_id         continent_id       website_url    created_at      updated_at          latitude_deg     longitude_deg elevation_ft      wikipedia_link"
"1 NTGA       AAA         Anaa Airport      medium_airport              47868                198                  6                  2024-06-27 0:00 2024-06-27 0:00           -17.3526     -145.509995                10 https://en.wikipedia.org/wiki/Anaa_Airport"
"113 KAEX     AEX   Alexandria Internmedium_airport      1118   188   4                  2024-06-27 0:00 2024-06-27 0:00         31.3274      -92.549797     89 https://en.wikipedia.org/wiki/Alexandria_Internation"
"114 BIAR     AEY   Akureyri Airport medium_airport       749   75    3 https://www.isavi 2024-06-27 0:00 2024-06-27 0:00      65.656573      -18.072018      6 https://en.wikipedia.org/wiki/Akureyri_Airport"
"115 SAMR     AFA   Suboficial Ay Sa medium_airport     37196    7    5                  2024-06-27 0:00 2024-06-27 0:00       -34.588299       -68.4039   2470 https://en.wikipedia.org/wiki/San_Rafael_Airport_(A"
"116 FAPA     AFD   Port Alfred Airpo small_airport     33357   163   2                  2024-06-27 0:00 2024-06-27 0:00       -33.555057     26.881656     275 https://en.wikipedia.org/wiki/Port_Alfred_Airport"
"117 KAFF     AFF   USAF Academy small_airport          10009   188   4                  2024-06-27 0:00 2024-06-27 0:00       38.972497     -104.821125   6572 https://en.wikipedia.org/wiki/United_States_Air_For"
"118 SKAM     AFI   Amalfi Airport    small_airport      1406   37    5                  2024-06-27 0:00 2024-06-27 0:00        6.895033      -75.047334    5507 https://en.wikipedia.org/wiki/Amalfi_Airport_(Colom"
"119 AFK      AFK   Kondavattavana seaplane_base        47904   166   1                  2024-06-27 0:00 2024-06-27 0:00            7.284         81.644      95"
"120 SBAT     AFL   Piloto Osvaldo Mmedium_airport       1294   24    5                  2024-06-27 0:00 2024-06-27 0:00        -9.866389     -56.106298     948 https://en.wikipedia.org/wiki/Alta_Floresta_Airport"
"121 KAFN     AFN   Jaffrey Airfield S small_airport    47921   188   4 http://silverranch 2024-06-27 0:00 2024-06-27 0:00     42.805099      -72.002998    1040 https://en.wikipedia.org/wiki/Jaffrey_Airport_%E2%"
"122 KAFO     AFO   Afton Municipal Asmall_airport      47922   188   4 http://www.aftona2024-06-27 0:00 2024-06-27 0:00     42.71120071    -110.9420013    6221 https://en.wikipedia.org/wiki/Afton_Municipal_Airpo"
"124 UTSN     AFS   Sugraly Airport small_airport       47923   190   1                  2024-06-27 0:00 2024-06-27 0:00       41.613899        64.2332     1396 https://en.wikipedia.org/wiki/Zarafshan_Airport"
"125 AGAF     AFT   Afutara Aerodromsmall_airport       47924   161   6                  2024-06-27 0:00 2024-06-27 0:00     -9.191388889   160.9486111       23 https://en.wikipedia.org/wiki/Afutara_Airport"
"126 KAFW     AFW   Perot Field/Fort W"
"medium_airport     14023   188   4 http://www.allianc2024-06-27 0:00 2024-06-27 0:00       32.99044       -97.31947     722 https://en.wikipedia.org/wiki/Fort_Worth_Alliance_A"
"127 LTAH     AFY   Afyon Air Base medium_airport         375   181   1                  2024-06-27 0:00 2024-06-27 0:00       38.726398      30.601101     3310 https://en.wikipedia.org/wiki/Afyon_Airport"
"128 OIMS     AFZ   Sabzevar Nation medium_airport      36003   78    1                  2024-06-27 0:00 2024-06-27 0:00     36.16809845    57.59519958     3010 https://en.wikipedia.org/wiki/Sabzevar_Airport"
"129 GMAD     AGA   Al Massira Airpo medium_airport     47925   119   2 http://www.agadi 2024-06-27 0:00 2024-06-27 0:00       30.322478       -9.412003     250 https://en.wikipedia.org/wiki/Al_Massira_Airport"
